x,y,group,side,descri
44.95893324229817,10.924811347479766,21.0,1.0,cercle 3pts
44.885898242661014,11.175668829974526,21.0,1.0,cercle 3pts
44.80971043069442,11.425586826532097,21.0,1.0,cercle 3pts
44.73038188560497,11.674525713871134,21.0,1.0,cercle 3pts
44.64792518454718,11.92244602394329,21.0,1.0,cercle 3pts
44.562353400629476,12.169308450190686,21.0,1.0,cercle 3pts
44.473680100841506,12.415073853777763,21.0,1.0,cercle 3pts
44.38191934390312,12.65970326979657,21.0,1.0,cercle 3pts
44.28708567803551,12.903157913444453,21.0,1.0,cercle 3pts
44.189194138654585,13.145399186173197,21.0,1.0,cercle 3pts
44.08826024598723,13.386388681808631,21.0,1.0,cercle 3pts
43.9843000026106,13.626088192639754,21.0,1.0,cercle 3pts
43.87732989091505,13.864459715476373,21.0,1.0,cercle 3pts
43.767366870490875,14.10146545767432,21.0,1.0,cercle 3pts
43.65442837543948,14.3370678431273,21.0,1.0,cercle 3pts
43.5385323116093,14.571229518224397,21.0,1.0,cercle 3pts
43.41969705375688,14.803913357772306,21.0,1.0,cercle 3pts
43.29794144263367,15.035082470881344,21.0,1.0,cercle 3pts
43.1732847819989,15.264700206814343,21.0,1.0,cercle 3pts
43.045746835559086,15.492730160797418,21.0,1.0,cercle 3pts
42.91534782383458,15.719136179791791,21.0,1.0,cercle 3pts
42.7821084209537,15.943882368225658,21.0,1.0,cercle 3pts
42.64604975137493,16.16693309368528,21.0,1.0,cercle 3pts
42.507193386537786,16.388252992564304,21.0,1.0,cercle 3pts
42.36556134144273,16.60780697567051,21.0,1.0,cercle 3pts
42.221176071160826,16.825560233789027,21.0,1.0,cercle 3pts
42.07406046727357,17.041478243201148,21.0,1.0,cercle 3pts
41.92423785424354,17.255526771157932,21.0,1.0,cercle 3pts
41.771731985716485,17.467671881307602,21.0,1.0,cercle 3pts
41.6165670407552,17.67787993907601,21.0,1.0,cercle 3pts
41.45876762000611,17.88611761699924,21.0,1.0,cercle 3pts
41.29835874179895,18.092351900007486,21.0,1.0,cercle 3pts
41.13536583818022,18.296550090659476,21.0,1.0,cercle 3pts
40.969814750881085,18.49867981432644,21.0,1.0,cercle 3pts
40.80173172722027,18.69870902432499,21.0,1.0,cercle 3pts
40.63114341594266,18.89660600699795,21.0,1.0,cercle 3pts
40.45807686299432,19.092339386742395,21.0,1.0,cercle 3pts
40.28255950723443,19.285878130984127,21.0,1.0,cercle 3pts
40.104619176085066,19.4771915550977,21.0,1.0,cercle 3pts
39.92428408111921,19.666249327271355,21.0,1.0,cercle 3pts
39.74158281358801,19.853021473315945,21.0,1.0,cercle 3pts
39.55654433988775,20.037478381417227,21.0,1.0,cercle 3pts
39.369197996967365,20.219590806830663,21.0,1.0,cercle 3pts
39.17957348767722,20.399329876518017,21.0,1.0,cercle 3pts
38.98770087605985,20.576667093725064,21.0,1.0,cercle 3pts
38.79361058258348,20.751574342499566,21.0,1.0,cercle 3pts
38.59733337931901,20.92402389214898,21.0,1.0,cercle 3pts
38.39890038506121,21.093988401636963,21.0,1.0,cercle 3pts
38.19834306039502,21.261440923918205,21.0,1.0,cercle 3pts
37.995693202707635,21.426354910210723,21.0,1.0,cercle 3pts
37.790982941147156,21.588704214205066,21.0,1.0,cercle 3pts
37.5842447315287,21.74846309620967,21.0,1.0,cercle 3pts
37.37551135118864,21.90560622723175,21.0,1.0,cercle 3pts
37.164815893788,22.06010869299312,21.0,1.0,cercle 3pts
36.95219176406553,22.211945997880196,21.0,1.0,cercle 3pts
36.737672672541606,22.361094068827683,21.0,1.0,cercle 3pts
36.521292630173555,22.50752925913523,21.0,1.0,cercle 3pts
36.303085942963406,22.651228352216492,21.0,1.0,cercle 3pts
36.08308720651882,22.792168565280033,21.0,1.0,cercle 3pts
35.86133130056817,22.930327552941385,21.0,1.0,cercle 3pts
35.637853383430446,23.065683410765846,21.0,1.0,cercle 3pts
35.41268888644119,23.198214678741287,21.0,1.0,cercle 3pts
35.18587350833489,23.327900344680554,21.0,1.0,cercle 3pts
34.95744320958529,23.454719847552827,21.0,1.0,cercle 3pts
34.72743420670385,23.578653080743493,21.0,1.0,cercle 3pts
34.495882966497916,23.699680395241938,21.0,1.0,cercle 3pts
34.262826200289076,23.817782602756804,21.0,1.0,cercle 3pts
34.0283008580927,23.932940978758207,21.0,1.0,cercle 3pts
33.792344122759744,24.045137265446407,21.0,1.0,cercle 3pts
33.55499340408157,24.154353674646504,21.0,1.0,cercle 3pts
33.31628633285882,24.260572890628666,21.0,1.0,cercle 3pts
33.07626075493523,24.363778072853446,21.0,1.0,cercle 3pts
32.83495472519732,24.463952858641772,21.0,1.0,cercle 3pts
32.59240650154105,24.561081365769166,21.0,1.0,cercle 3pts
32.348654538806166,24.655148194983813,21.0,1.0,cercle 3pts
32.103737482679364,24.746138432448006,21.0,1.0,cercle 3pts
31.857694163567253,24.834037652102683,21.0,1.0,cercle 3pts
31.610563590439927,24.91883191795461,21.0,1.0,cercle 3pts
31.362384944646323,25.000507786285848,21.0,1.0,cercle 3pts
31.113197573702195,25.0790523077852,21.0,1.0,cercle 3pts
30.863040985051764,25.15445302960127,21.0,1.0,cercle 3pts
30.61195483980398,25.22669799731679,21.0,1.0,cercle 3pts
30.359978946444482,25.29577575684393,21.0,1.0,cercle 3pts
30.10715325452413,25.361675356240305,21.0,1.0,cercle 3pts
29.85351784832521,25.42438634744533,21.0,1.0,cercle 3pts
29.599112940506267,25.483898787936738,21.0,1.0,cercle 3pts
29.343978865726577,25.540203242306884,21.0,1.0,cercle 3pts
29.08815607425129,25.593290783758714,21.0,1.0,cercle 3pts
28.831685125538232,25.64315299552105,21.0,1.0,cercle 3pts
28.574606681807406,25.689781972183017,21.0,1.0,cercle 3pts
28.31696150159418,25.73317032094744,21.0,1.0,cercle 3pts
28.058790433287253,25.773311162802905,21.0,1.0,cercle 3pts
27.800134408652294,25.81019813361441,21.0,1.0,cercle 3pts
27.54103443634246,25.843825385132355,21.0,1.0,cercle 3pts
27.28153159539664,25.874187585919763,21.0,1.0,cercle 3pts
27.021667028726576,25.901279922197556,21.0,1.0,cercle 3pts
26.76148193659388,25.92509809860774,21.0,1.0,cercle 3pts
26.501017570077895,25.94563833889444,21.0,1.0,cercle 3pts
26.24031522453558,25.962897386502576,21.0,1.0,cercle 3pts
25.97941623305428,25.976872505094196,21.0,1.0,cercle 3pts
25.718361959898623,25.9875614789823,21.0,1.0,cercle 3pts
25.457193793952385,25.994962613482134,21.0,1.0,cercle 3pts
25.195953142156476,25.999074735179857,21.0,1.0,cercle 3pts
24.934681422944102,25.999897192118603,21.0,1.0,cercle 3pts
24.673420059674037,25.997429853901824,21.0,1.0,cercle 3pts
24.412210474063194,25.991673111713986,21.0,1.0,cercle 3pts
24.151094079619366,25.982627878258526,21.0,1.0,cercle 3pts
23.890112275075357,25.970295587613165,21.0,1.0,cercle 3pts
23.6293064378254,25.954678195002526,21.0,1.0,cercle 3pts
23.36871791736495,25.93577817648816,21.0,1.0,cercle 3pts
23.10838802873497,25.913598528575967,21.0,1.0,cercle 3pts
22.848358045971587,25.888142767741112,21.0,1.0,cercle 3pts
22.588669195562318,25.85941492987052,21.0,1.0,cercle 3pts
22.329362649909804,25.82741956962299,21.0,1.0,cercle 3pts
22.070479520804135,25.792161759707085,21.0,1.0,cercle 3pts
21.81206085290477,25.75364709007687,21.0,1.0,cercle 3pts
21.554147617233095,25.711881667045667,21.0,1.0,cercle 3pts
21.296780704676692,25.666872112317918,21.0,1.0,cercle 3pts
21.040000919506255,25.61862556193934,21.0,1.0,cercle 3pts
20.78384897290631,25.567149665165555,21.0,1.0,cercle 3pts
20.528365476520616,25.512452583249328,21.0,1.0,cercle 3pts
20.273590936013424,25.454542988146642,21.0,1.0,cercle 3pts
20.019565744647473,25.3934300611418,21.0,1.0,cercle 3pts
19.76633017687984,25.329123491391783,21.0,1.0,cercle 3pts
19.513924381976643,25.26163347439008,21.0,1.0,cercle 3pts
19.262388377647525,25.190970710350232,21.0,1.0,cercle 3pts
19.011762043701104,25.117146402509377,21.0,1.0,cercle 3pts
18.76208511572215,25.04017225535202,21.0,1.0,cercle 3pts
18.513397178771775,24.960060472754364,21.0,1.0,cercle 3pts
18.265737661111363,24.876823756049426,21.0,1.0,cercle 3pts
18.01914582795142,24.790475302013306,21.0,1.0,cercle 3pts
17.773660775226297,24.701028800772903,21.0,1.0,cercle 3pts
17.52932142339567,24.60849843363542,21.0,1.0,cercle 3pts
17.286166511273937,24.512898870839983,21.0,1.0,cercle 3pts
17.044234589888333,24.41424526923173,21.0,1.0,cercle 3pts
16.803564016366884,24.312553269858796,21.0,1.0,cercle 3pts
16.564192947857048,24.207838995492477,21.0,1.0,cercle 3pts
16.32615933547608,24.100119048071058,21.0,1.0,cercle 3pts
16.089500918294085,23.989410506067635,21.0,1.0,cercle 3pts
15.854255217350682,23.87573092178245,21.0,1.0,cercle 3pts
15.62045952970619,23.75909831856,21.0,1.0,cercle 3pts
15.388150922528386,23.639531187931574,21.0,1.0,cercle 3pts
15.157366227215672,23.517048486683485,21.0,1.0,cercle 3pts
14.928142033557673,23.39166963385157,21.0,1.0,cercle 3pts
14.700514683934049,23.263414507642402,21.0,1.0,cercle 3pts
14.474520267552608,23.132303442281682,21.0,1.0,cercle 3pts
14.250194614727585,22.99835722479036,21.0,1.0,cercle 3pts
14.027573291198834,22.861597091688953,21.0,1.0,cercle 3pts
13.806691592493124,22.722044725630596,21.0,1.0,cercle 3pts
13.587584538328164,22.579722251963346,21.0,1.0,cercle 3pts
13.370286867060436,22.434652235222366,21.0,1.0,cercle 3pts
13.154833030177555,22.286857675552362,21.0,1.0,cercle 3pts
12.94125718683617,22.136362005061056,21.0,1.0,cercle 3pts
12.72959319844622,21.983189084104165,21.0,1.0,cercle 3pts
12.51987462330234,21.8273631975024,21.0,1.0,cercle 3pts
12.31213471126336,21.668909050691273,21.0,1.0,cercle 3pts
12.10640639848071,21.50785176580414,21.0,1.0,cercle 3pts
11.902722302176578,21.34421687768924,21.0,1.0,cercle 3pts
11.70111471547256,21.178030329861237,21.0,1.0,cercle 3pts
11.50161560226977,21.009318470388024,21.0,1.0,cercle 3pts
11.304256592181128,20.838108047713355,21.0,1.0,cercle 3pts
11.109068975516614,20.664426206416017,21.0,1.0,cercle 3pts
10.91608369832236,20.488300482906187,21.0,1.0,cercle 3pts
10.72533135747429,20.309758801059637,21.0,1.0,cercle 3pts
10.536842195827168,20.128829467790624,21.0,1.0,cercle 3pts
10.350646097419695,19.945541168563857,21.0,1.0,cercle 3pts
10.166772582736556,19.759922962846638,21.0,1.0,cercle 3pts
9.985250804028125,19.57200427950159,21.0,1.0,cercle 3pts
9.806109540688466,19.381814912120877,21.0,1.0,cercle 3pts
9.629377194692529,19.18938501430253,21.0,1.0,cercle 3pts
9.45508178609315,18.994745094869785,21.0,1.0,cercle 3pts
9.283250948578612,18.797926013034058,21.0,1.0,cercle 3pts
9.113911925091449,18.598958973502327,21.0,1.0,cercle 3pts
8.947091563509211,18.397875521529816,21.0,1.0,cercle 3pts
8.782816312387887,18.19470753791864,21.0,1.0,cercle 3pts
8.621112216768573,17.98948723396324,21.0,1.0,cercle 3pts
8.462004914048194,17.782247146343465,21.0,1.0,cercle 3pts
8.305519629914794,17.573020131966018,21.0,1.0,cercle 3pts
8.151681174348163,17.361839362755184,21.0,1.0,cercle 3pts
8.000513937686286,17.14873832039354,21.0,1.0,cercle 3pts
7.8520418867584,16.93375079101363,21.0,1.0,cercle 3pts
7.7062885610851914,16.716910859841335,21.0,1.0,cercle 3pts
7.563277069146675,16.49825290579181,21.0,1.0,cercle 3pts
7.423030084718484,16.27781159601888,21.0,1.0,cercle 3pts
7.285569843277042,16.055621880418737,21.0,1.0,cercle 3pts
7.15091813847426,15.831718986088827,21.0,1.0,cercle 3pts
7.019096318682227,15.606138411742714,21.0,1.0,cercle 3pts
6.8901252836085405,15.378915922081955,21.0,1.0,cercle 3pts
6.764025480982781,15.150087542125815,21.0,1.0,cercle 3pts
6.640816903314597,14.919689551499621,21.0,1.0,cercle 3pts
6.520519084723986,14.68775847868283,21.0,1.0,cercle 3pts
6.403151097844287,14.454331095217613,21.0,1.0,cercle 3pts
6.288731550798282,14.21944440987893,21.0,1.0,cercle 3pts
6.177278584247976,13.983135662806921,21.0,1.0,cercle 3pts
6.068809868518471,13.745442319602693,21.0,1.0,cercle 3pts
5.963342600796455,13.506402065388349,21.0,1.0,cercle 3pts
5.860893502403638,13.266052798832145,21.0,1.0,cercle 3pts
5.761478816145672,13.024432626139888,21.0,1.0,cercle 3pts
5.6651143037369565,12.781579855013344,21.0,1.0,cercle 3pts
5.571815243301678,12.53753298857679,21.0,1.0,cercle 3pts
